"pure-name" global-time depth color-temp color-tint 
DSC03190 1410681599 4.48 23746 0.4779 1.0000 
DSC03191 1410681611 4.61 26100 0.4654 1.0000 
DSC03192 1410681642 4.42 22660 0.4836 1.0000 
DSC03193 1410681646 4.46 23384 0.4798 1.0000 
DSC03194 1410681648 4.48 23746 0.4779 1.0000 
DSC03197 1410681788 12.70 21313 0.4918 1.5000 
DSC03199 1410681813 14.29 28843 0.4395 1.5000 
DSC03202 1410681926 19.37 59280 0.3092 1.5000 
DSC03204 1410681980 20.9 62696 0.2986 1.5000 
DSC03205 1410681981 20.88 62656 0.2988 1.5000 
DSC03206 1410681984 20.82 62536 0.2991 1.5000 
DSC03207 1410681998 20.54 61977 0.3009 1.5000 
DSC03208 1410682090 20.90 62696 0.2986 1.5000 
DSC03209 1410682092 20.92 62736 0.2985 1.5000 
DSC03210 1410682093 20.93 62756 0.2985 1.5000 
DSC03211 1410682124 19.90 60698 0.3048 1.5000 
DSC03213 1410682149 18.65 56404 0.3181 1.5000 
DSC03215 1410682295 15.73 36402 0.3984 1.5000 
DSC03216 1410682316 14.96 30609 0.4277 1.5000 
DSC03217 1410682328 14.84 30293 0.4298 1.5000 
DSC03218 1410682355 14.23 28685 0.4406 1.5000 
DSC03219 1410682379 13.62 27077 0.4513 1.5000 
DSC03220 1410682384 13.58 26972 0.4520 1.5000 
DSC03221 1410682392 13.54 26715 0.4538 1.5000 
DSC03222 1410682393 13.54 26715 0.4538 1.5000 
DSC03223 1410682397 13.52 26586 0.4547 1.5000 
DSC03226 1410682609 6.79 16364 0.5253 1.2361 
DSC03227 1410682613 6.83 14503 0.5388 1.2557 
DSC03229 1410682707 6.90 11247 0.5623 1.2902 
DSC03230 1410682710 6.85 13573 0.5455 1.2656 
DSC03231 1410682712 6.82 14968 0.5354 1.2508 
DSC03232 1410682714 6.79 16364 0.5253 1.2361 
DSC03234 1410682781 4.46 23384 0.4798 1.0000 
DSC03235 1410682784 4.36 21573 0.4894 1.0000 
DSC03237 1410682830 4.50 24108 0.4760 1.0000 
DSC03238 1410682832 4.56 25195 0.4702 1.0000 
DSC03240 1410682879 4.71 27911 0.4558 1.0000 
DSC03241 1410682894 4.77 28880 0.4504 1.0000 
DSC03243 1410682997 3.20 11920 0.5990 1.0000 
DSC03244 1410683014 2.99 11611 0.6009 0.9968 
